"All Fuel Types
All Sectors
Millions of metric tons (Mt) CO2 ",,,,,Extracting Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producing Regions,Imports of Extraction Emissions,Exports of Extraction Emissions,Total Production,Net Trade of Extraction Emissions,Australia,New Zealand,Rest of Oceania,China,Hong Kong,Japan,Korea,Taiwan,Rest of East Asia,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Philippines,Singapore,Thailand,Vietnam,Rest of Southeast Asia,Bangladesh,India,Pakistan,Sri Lanka,Rest of South Asia,Canada,United States of America,Mexico,Rest of North America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela,Rest of South America,Costa Rica,Guatemala,Nicaragua,Panama,Rest of Central America,Caribbean,Austria,Belgium,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Switzerland,Norway,Rest of EFTA,Albania,Bulgaria,Belarus,Croatia,Romania,Russian Federation,Ukraine,Rest of Eastern Europe,Rest of Europe,Kazakhstan,Kyrgyzstan,Rest of Former Soviet Union,Armenia,Azerbaijan,Georgia,"Iran, Islamic Republic of",Turkey,Rest of Western Asia,Egypt,Morocco,Tunisia,Rest of North Africa,Nigeria,Senegal,Rest of Western Africa,Rest of Central Africa,Rest of South Central Africa,Ethiopia,Madagascar,Malawi,Mauritius,Mozambique,Tanzania,Uganda,Zambia,Zimbabwe,Rest of Eastern Africa,Botswana,South Africa,Rest of South African Customs Union 
Rest of East Asia,6.66,2.57,78.64,4.09,0.02,0.00,0.00,2.08,0.00,0.00,0.00,0.00,71.98,0.00,0.02,0.00,0.02,0.00,0.00,0.04,0.02,0.00,0.00,0.05,0.00,0.00,0.00,0.02,0.05,0.01,0.00,0.01,0.00,0.36,0.00,0.00,0.36,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,2.38,0.01,0.00,0.00,0.10,0.00,0.01,0.00,0.00,0.00,0.08,0.00,0.79,0.02,0.00,0.00,0.01,0.04,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00
Cambodia,1.10,0.95,3.54,0.14,0.02,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,2.44,0.02,0.00,0.02,0.00,0.00,0.10,0.09,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.29,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.01,0.03
Indonesia,99.34,351.32,354.96,-251.98,2.87,0.00,1.45,12.21,0.00,0.00,0.03,0.01,0.01,0.01,255.62,0.00,5.19,0.00,0.10,0.47,5.67,2.92,0.00,2.77,0.00,0.00,0.01,0.21,1.04,0.44,0.00,0.08,0.00,0.29,0.00,0.05,0.12,0.00,0.01,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,1.66,0.05,0.00,0.00,0.13,0.00,0.02,0.00,2.14,0.00,3.46,0.00,42.04,0.09,0.00,0.01,1.67,2.82,0.00,0.04,0.33,3.55,0.00,0.07,0.03,0.09,0.00,0.00,0.11,0.00,0.00,3.25,0.00,0.05,0.05
Lao People's Democratic Republic,0.54,0.50,1.81,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.26,0.01,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.15,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.09,0.02
Malaysia,51.33,115.41,145.37,-64.08,11.99,0.00,0.02,0.87,0.00,0.00,0.00,0.00,0.00,0.00,10.44,0.00,94.04,0.00,0.04,0.09,2.11,0.06,0.00,0.04,0.00,0.00,0.00,0.13,0.86,0.24,0.00,0.01,0.00,0.02,0.00,0.04,0.05,0.00,0.03,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,2.02,0.11,0.00,0.00,0.08,0.00,0.00,0.00,0.02,0.00,1.86,0.00,18.68,0.03,0.00,0.00,0.14,0.18,0.00,0.01,0.21,0.09,0.00,0.02,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.05,0.01
Philippines,67.85,0.27,78.31,67.58,1.71,0.00,0.01,8.70,0.00,0.01,0.03,0.04,0.00,0.01,8.18,0.00,2.36,10.45,0.01,0.15,0.59,0.09,0.00,0.00,0.00,0.00,0.01,0.08,0.34,0.10,0.00,0.01,0.00,0.03,0.00,0.02,0.08,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.01,0.00,13.10,0.00,29.27,0.01,0.00,0.00,0.08,0.26,0.00,0.02,0.69,0.50,0.00,0.04,0.02,0.06,0.00,0.00,0.07,0.00,0.00,0.07,0.00,0.03,0.03
Singapore,46.78,0.36,49.29,46.42,0.84,0.00,0.04,1.16,0.00,0.00,0.00,0.01,0.04,0.01,1.01,0.01,1.47,0.00,2.50,0.14,1.37,0.08,0.00,0.52,0.00,0.00,0.00,0.46,1.60,0.25,0.00,0.18,0.03,0.48,0.00,0.06,0.05,0.00,0.01,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.00,0.00,0.00,0.83,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.24,0.01,0.00,0.02,0.00,0.00,0.00,4.24,0.34,0.00,0.00,0.47,0.00,0.38,0.00,0.05,0.00,3.60,0.00,22.98,0.70,0.00,0.08,0.27,0.58,0.00,0.02,0.19,0.14,0.00,0.02,0.01,0.02,0.00,0.00,0.03,0.00,0.00,0.04,0.00,0.06,0.01
Thailand,140.62,3.70,232.50,136.92,1.20,0.00,0.01,0.95,0.00,0.00,0.00,0.00,0.05,0.11,13.36,0.10,7.22,0.00,0.00,91.89,4.93,21.12,0.00,0.01,0.02,0.00,0.01,0.06,0.17,0.07,0.00,0.02,0.00,0.02,0.00,0.02,0.02,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.70,0.01,0.00,0.00,0.10,0.00,0.07,0.00,0.01,0.00,0.19,0.00,88.00,0.10,0.00,0.01,0.62,0.06,0.00,0.01,0.35,0.04,0.00,0.09,0.04,0.13,0.00,0.00,0.16,0.00,0.00,0.02,0.00,0.02,0.08
Vietnam,38.24,76.28,86.63,-38.04,0.75,0.00,0.01,6.66,0.00,0.00,0.03,0.02,0.02,0.00,0.79,0.00,0.93,0.25,0.03,0.76,48.39,0.27,0.00,0.07,0.01,0.00,0.07,0.10,0.08,0.06,0.02,0.02,0.00,0.05,0.00,0.01,0.07,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.14,0.00,0.00,0.00,0.10,0.00,0.00,2.20,0.01,0.00,0.00,0.08,0.00,0.01,0.00,0.02,0.00,3.32,0.00,19.01,0.03,0.00,0.00,0.12,0.19,0.00,0.05,0.43,0.58,0.00,0.38,0.01,0.03,0.00,0.00,0.03,0.00,0.00,0.25,0.00,0.01,0.02
Rest of Southeast Asia,3.37,60.83,18.52,-57.46,0.08,0.00,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.24,0.00,0.01,0.08,0.17,15.15,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,1.73,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
