"All Fuel Types
All Sectors
Millions of metric tons (Mt) CO2 ",,,,,Extracting Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producing Regions,Imports of Extraction Emissions,Exports of Extraction Emissions,Total Production,Net Trade of Extraction Emissions,Australia,New Zealand,Rest of Oceania,China,Hong Kong,Japan,Korea,Taiwan,Rest of East Asia,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Philippines,Singapore,Thailand,Vietnam,Rest of Southeast Asia,Bangladesh,India,Pakistan,Sri Lanka,Rest of South Asia,Canada,United States of America,Mexico,Rest of North America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela,Rest of South America,Costa Rica,Guatemala,Nicaragua,Panama,Rest of Central America,Caribbean,Austria,Belgium,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Switzerland,Norway,Rest of EFTA,Albania,Bulgaria,Belarus,Croatia,Romania,Russian Federation,Ukraine,Rest of Eastern Europe,Rest of Europe,Kazakhstan,Kyrgyzstan,Rest of Former Soviet Union,Armenia,Azerbaijan,Georgia,"Iran, Islamic Republic of",Turkey,Rest of Western Asia,Egypt,Morocco,Tunisia,Rest of North Africa,Nigeria,Senegal,Rest of Western Africa,Rest of Central Africa,Rest of South Central Africa,Ethiopia,Madagascar,Malawi,Mauritius,Mozambique,Tanzania,Uganda,Zambia,Zimbabwe,Rest of Eastern Africa,Botswana,South Africa,Rest of South African Customs Union 
Bangladesh,13.78,0.00,33.16,13.78,0.06,0.00,1.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.01,0.00,0.09,0.00,19.38,1.53,0.00,0.00,0.00,0.01,0.03,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.58,0.00,9.51,0.01,0.00,0.00,0.03,0.14,0.00,0.39,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
India,302.42,16.84,1112.12,285.59,41.28,0.44,0.02,7.77,0.00,0.00,0.00,0.00,0.00,0.02,6.32,0.00,6.25,0.00,0.00,0.00,0.46,0.83,0.00,809.70,0.09,0.00,0.03,0.20,3.58,4.92,0.01,0.02,0.00,0.04,0.00,0.20,0.25,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.17,0.01,0.00,0.00,0.00,0.00,0.00,1.37,0.10,0.00,0.00,0.09,0.00,0.02,0.00,0.04,0.00,20.71,0.00,138.75,1.21,0.00,0.00,0.38,64.52,0.00,0.02,0.25,0.10,0.00,0.18,0.08,0.26,0.00,0.00,0.32,0.00,0.00,0.04,0.00,0.46,0.16
Pakistan,50.18,0.58,124.61,49.60,3.98,0.00,0.00,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.03,0.00,0.00,0.00,0.12,0.00,0.00,0.23,74.42,0.00,0.02,0.25,0.32,0.05,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.03,0.00,1.87,0.00,38.87,0.05,0.00,0.00,0.04,0.16,0.00,0.00,0.01,0.01,0.00,0.02,0.01,0.03,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.20,0.02
Sri Lanka,13.47,0.00,13.50,13.47,0.07,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,1.17,0.00,0.01,0.00,0.10,0.01,0.00,1.45,0.00,0.03,0.00,0.01,0.02,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,4.85,0.00,4.27,0.02,0.00,0.00,0.02,0.87,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01
Rest of South Asia,7.50,4.25,10.52,3.25,0.05,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.11,0.00,0.00,0.00,0.03,0.01,0.00,1.80,0.28,0.00,3.02,0.00,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.00,0.00,0.00,0.82,0.01,0.00,0.00,0.04,0.00,0.61,0.00,2.76,0.03,0.00,0.00,0.01,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Canada,155.86,412.53,617.69,-256.67,0.13,0.00,0.11,0.74,0.00,0.00,0.00,0.00,0.01,0.01,0.08,0.00,0.05,0.00,0.00,0.01,0.06,0.03,0.00,0.01,0.00,0.00,0.01,461.82,42.10,5.98,0.05,0.08,0.00,0.16,0.00,3.27,0.36,0.00,0.00,0.00,13.98,0.00,0.00,0.03,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,1.08,0.00,0.03,0.01,0.01,0.02,0.00,0.00,0.03,0.00,0.02,0.00,0.00,0.03,0.04,0.00,0.00,0.00,0.02,0.00,10.50,0.00,29.61,0.01,0.00,0.00,0.02,0.00,0.02,8.86,0.06,0.00,0.01,0.33,0.00,0.04,0.00,0.02,0.00,0.30,0.04,18.23,0.16,0.00,0.02,12.98,1.60,0.00,0.09,2.11,0.50,0.00,0.07,0.03,0.09,0.00,0.00,0.10,0.00,0.00,0.02,0.00,0.11,0.05
United States of America,2082.17,200.79,6341.74,1881.38,7.11,0.04,0.11,9.18,0.00,0.01,0.05,0.01,0.09,0.14,6.98,0.01,3.89,0.00,0.00,0.06,4.13,2.21,0.00,0.81,0.00,0.00,0.27,361.59,4259.57,251.78,0.07,13.32,0.43,20.05,0.03,69.29,38.69,0.00,1.61,0.00,294.02,0.02,0.00,2.90,0.00,0.00,0.01,40.14,0.01,0.06,0.00,0.05,4.23,0.03,0.07,0.11,0.80,0.02,0.05,0.00,0.42,0.00,0.12,0.00,0.00,0.93,0.99,0.01,0.00,0.00,0.09,0.05,38.68,0.00,73.99,0.10,0.00,0.09,0.45,0.03,0.04,88.86,1.64,0.00,0.05,7.96,0.00,0.99,0.00,0.78,0.03,6.77,0.17,395.25,3.39,0.00,0.60,74.01,144.02,0.00,8.60,40.04,49.54,0.00,1.27,0.53,1.77,0.00,0.00,2.17,0.00,0.00,0.40,0.00,1.78,1.05
Mexico,67.21,311.84,425.51,-244.63,5.13,0.00,0.03,0.43,0.00,0.00,0.00,0.00,0.01,0.00,0.07,0.00,0.05,0.00,0.00,0.00,0.10,0.03,0.00,0.00,0.00,0.00,0.00,2.69,34.44,358.31,0.00,0.18,0.01,0.32,0.00,1.37,0.68,0.00,0.07,0.00,5.64,0.00,0.00,0.04,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.42,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.01,0.00,0.00,0.29,0.00,0.06,0.00,0.01,0.00,0.13,0.00,6.85,0.04,0.00,0.01,1.01,1.96,0.00,0.12,0.58,0.70,0.00,0.02,0.01,0.02,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.03,0.01
Rest of North America,2.87,0.47,3.92,2.40,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.25,0.07,1.05,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.10,0.00,0.63,0.00,0.00,0.00,0.01,0.00,0.00,0.48,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.13,0.00,0.15,0.00,0.00,0.00,0.02,0.04,0.00,0.00,0.01,0.02,0.00,0.03,0.01,0.04,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.02
Argentina,3.96,59.81,151.52,-55.85,0.93,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.44,0.03,0.00,147.56,0.30,0.28,0.00,0.13,0.01,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.12,0.00,0.00,0.00,0.04,0.14,0.00,0.62,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00
Bolivia,0.71,16.64,12.23,-15.93,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.37,11.52,0.11,0.00,0.01,0.01,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.03,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brazil,133.26,48.41,347.03,84.85,16.09,0.20,0.03,3.94,0.00,0.00,0.00,0.00,0.01,0.01,1.58,0.00,0.07,0.00,0.00,0.00,0.21,0.03,0.00,0.57,0.00,0.00,0.01,2.92,8.67,0.53,0.00,8.02,15.37,213.77,0.00,1.36,0.69,0.00,0.03,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.01,0.00,0.26,0.00,0.61,0.01,0.00,0.00,0.00,0.00,0.00,2.30,0.07,0.00,0.00,0.28,0.00,0.05,0.00,0.03,0.00,0.76,0.00,20.25,0.13,0.00,0.01,14.92,27.26,0.00,0.09,0.25,0.27,0.00,0.05,0.02,0.07,0.00,0.00,0.08,0.00,0.00,0.08,0.00,1.74,0.04
Chile,57.20,0.08,68.44,57.12,4.38,0.26,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,2.57,0.00,0.19,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.10,1.90,0.39,0.00,26.93,0.01,3.19,11.24,2.62,0.75,0.00,0.89,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.04,0.00,0.02,0.00,0.00,0.00,0.05,0.00,0.94,0.00,0.00,0.00,0.12,3.51,0.00,0.38,0.62,4.14,0.00,0.03,0.01,0.04,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.03,0.02
Colombia,0.58,170.01,60.74,-169.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.04,0.01,0.00,0.00,0.00,0.12,0.00,60.16,0.11,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ecuador,5.10,59.57,23.70,-54.47,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.55,0.15,0.00,0.36,0.00,0.09,0.01,0.29,18.60,0.00,0.11,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.54,0.00,0.00,0.00,0.03,0.17,0.00,0.01,0.04,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Paraguay,4.12,0.00,4.13,4.12,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.00,2.97,0.02,0.47,0.00,0.01,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.04,0.08,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Peru,18.53,3.30,32.28,15.23,0.14,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.63,0.17,0.00,0.15,0.00,0.32,0.00,3.46,6.53,0.00,13.75,0.00,5.72,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.41,0.00,0.00,0.00,0.04,0.45,0.00,0.01,0.03,0.07,0.00,0.01,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01
Uruguay,5.59,0.01,5.62,5.58,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.46,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73,0.00,0.05,0.00,0.00,0.00,0.03,0.51,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Venezuela,0.01,389.44,153.71,-389.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rest of South America,2.11,0.12,2.28,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.13,0.00,0.00,0.00,0.09,0.00,0.03,0.02,0.00,0.00,0.00,0.15,0.17,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.14,0.00,0.00,0.00,0.06,0.04,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,5.98,0.00,5.99,5.98,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.49,0.16,0.00,0.01,0.00,0.64,0.00,0.60,0.04,0.00,0.01,0.00,2.33,0.00,0.01,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.35,0.00,0.00,0.00,0.11,0.17,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
Guatemala,11.37,3.13,11.38,8.23,0.06,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.27,1.59,0.68,0.01,0.54,0.00,0.66,0.02,1.26,0.53,0.00,0.18,0.00,0.79,0.00,0.00,0.01,0.00,0.00,0.00,1.44,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.87,0.00,0.00,0.00,0.14,0.46,0.00,0.03,0.14,0.27,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00
Nicaragua,4.24,0.00,4.25,4.24,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.47,0.00,0.01,0.00,0.06,0.00,0.02,0.31,0.00,0.03,0.00,2.44,0.00,0.00,0.00,0.01,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.07,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Panama,6.03,0.00,6.04,6.03,0.02,0.00,0.00,4.27,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.03,0.00,0.00,0.00,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.54,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.05,0.24,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00
Rest of Central America,13.88,0.08,13.97,13.80,0.03,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.31,2.10,1.07,0.00,0.49,0.00,0.21,0.01,0.50,1.36,0.00,0.12,0.00,4.18,0.00,0.00,0.01,0.00,0.00,0.09,0.74,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.92,0.00,0.00,0.00,0.13,0.43,0.00,0.03,0.12,0.23,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Caribbean,83.01,53.12,160.42,29.88,0.26,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.00,0.04,0.00,0.00,0.00,0.24,0.03,0.00,0.01,0.00,0.00,0.01,2.52,5.36,6.97,0.00,0.44,0.01,5.90,0.00,6.96,1.08,0.00,0.01,0.00,15.60,0.00,0.00,0.03,0.00,0.00,0.00,77.41,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.58,0.00,1.71,0.00,0.00,0.00,0.01,0.00,0.00,15.97,0.10,0.00,0.00,8.13,0.00,0.01,0.00,0.02,0.00,0.17,0.00,4.82,0.03,0.00,0.01,1.58,1.79,0.00,0.11,1.06,0.60,0.00,0.04,0.02,0.06,0.00,0.00,0.07,0.00,0.00,0.01,0.00,0.12,0.03
Austria,67.67,0.73,78.60,66.93,0.19,0.00,0.03,0.94,0.00,0.00,0.00,0.00,0.08,0.02,0.18,0.05,0.29,0.00,0.00,0.01,0.02,0.02,0.00,0.00,0.00,0.00,0.11,0.24,1.12,0.06,0.01,0.33,0.05,0.03,0.00,0.09,0.02,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.14,10.93,0.01,0.00,4.80,0.62,0.00,0.00,0.01,1.50,0.00,0.32,0.00,0.19,0.00,0.00,0.00,0.00,0.10,5.92,0.00,0.15,0.00,0.00,0.00,1.76,0.00,3.11,0.02,0.00,0.00,0.01,0.01,0.01,19.32,0.35,0.00,0.05,1.83,0.01,2.66,0.00,0.93,0.00,1.93,0.00,7.64,1.02,0.00,0.36,5.71,2.48,0.00,0.05,0.13,0.03,0.00,0.05,0.02,0.05,0.00,0.00,0.06,0.00,0.00,0.02,0.00,0.21,0.03
